Data,Descrição,Resultado,Capital Total
2023-01-31,"Fechamento Mensal - Janeiro 2023",19.52,10000
2023-02-28,"Fechamento Mensal - Fevereiro 2023",13.16,11952
2023-03-31,"Fechamento Mensal - Março 2023",9.35,13525
2023-04-30,"Fechamento Mensal - Abril 2023",14.29,14789
2023-05-31,"Fechamento Mensal - Maio 2023",14.13,16902
2023-06-30,"Fechamento Mensal - Junho 2023",36.3,19290
2023-07-31,"Fechamento Mensal - Julho 2023",13.78,26293
2023-08-31,"Fechamento Mensal - Agosto 2023",16.53,29917
2023-09-30,"Fechamento Mensal - Setembro 2023",17.93,34861
2023-10-31,"Fechamento Mensal - Outubro 2023",13.55,41111
2023-11-30,"Fechamento Mensal - Novembro 2023",17.99,46681
2023-12-31,"Fechamento Mensal - Dezembro 2023",5.3,55081
