Data,Descrição,Resultado,Capital Total
2025-01-31,"Fechamento Mensal - Janeiro 2025",4.20,150000
2025-02-28,"Fechamento Mensal - Fevereiro 2025",10.59,156300
2025-03-31,"Fechamento Mensal - Março 2025",2.23,172850
2025-04-30,"Fechamento Mensal - Abril 2025",0.89,176700
2025-05-31,"Fechamento Mensal - Maio 2025",4.29,178270
2025-06-30,"Fechamento Mensal - Junho 2025",8.12,185920
2025-07-31,"Fechamento Mensal - Julho 2025",8.03,201020
